Note,This file is generated by the map editor. Don't edit it by hand because your changes will be overwritten. See SourceMap.xml.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell,478.513672,3026.406250,470,2,-1.000000,20000.000000,8192,,6,422,376.429993,2979.874023,405.626129,3117.449707,431,453.438873,2898.519287,376.429993,2979.874023,480,405.626129,3117.449707,535.576782,3088.468994,479,535.576782,3088.468994,538.259827,3083.563477,469,538.259827,3083.563477,543.272095,2967.956543,495,543.272095,2967.956543,453.438873,2898.519287,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,453.438873,2898.519287,376.429993,2979.874023,405.626129,3117.449707,535.576782,3088.468994,538.259827,3083.563477,543.272095,2967.956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,481.137695,-2799.513672,471,1,-1.000000,20000.000000,2,,6,413,409.689941,-2933.194336,348.153931,-2782.824951,483,591.325439,-2871.844238,409.689941,-2933.194336,475,468.593811,-2672.357178,520.409790,-2674.893066,433,348.153931,-2782.824951,468.593811,-2672.357178,504,520.409790,-2674.893066,595.830933,-2863.481934,531,595.830933,-2863.481934,591.325439,-2871.844238,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,595.830933,-2863.481934,591.325439,-2871.844238,409.689941,-2933.194336,348.153931,-2782.824951,468.593811,-2672.357178,520.409790,-2674.893066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,485.400391,-915.250977,472,3,-1.000000,20000.000000,0,,5,505,616.144104,-902.599609,516.122559,-1034.694702,497,489.882568,-795.421936,616.144104,-902.599609,446,285.933197,-880.987671,489.882568,-795.421936,436,466.093323,-1035.337769,285.933197,-880.987671,474,516.122559,-1034.694702,466.093323,-1035.337769,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,516.122559,-1034.694702,466.093323,-1035.337769,285.933197,-880.987671,489.882568,-795.421936,616.144104,-902.599609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,487.388672,-1913.047852,473,3,-1.000000,20000.000000,2,,7,434,354.832428,-1874.782471,471.552643,-1778.955444,417,411.796906,-2017.616455,354.832428,-1874.782471,562,680.154175,-1848.701294,640.083008,-2061.794678,544,624.439575,-1797.009888,680.154175,-1848.701294,549,640.083008,-2061.794678,601.924744,-2095.601807,481,471.552643,-1778.955444,624.439575,-1797.009888,445,601.924744,-2095.601807,411.796906,-2017.616455,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,601.924744,-2095.601807,411.796906,-2017.616455,354.832428,-1874.782471,471.552643,-1778.955444,624.439575,-1797.009888,680.154175,-1848.701294,640.083008,-2061.794678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,488.480469,-1154.888672,474,3,-1.000000,20000.000000,2,,5,496,620.380798,-1162.622681,448.656799,-1299.545898,505,516.122559,-1034.694702,620.380798,-1162.622681,472,466.093353,-1035.337769,516.122559,-1034.694702,436,384.965851,-1171.874634,466.093353,-1035.337769,423,448.656799,-1299.545898,384.965851,-1171.874634,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,384.965851,-1171.874634,466.093353,-1035.337769,516.122559,-1034.694702,620.380798,-1162.622681,448.656799,-1299.545898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,493.494141,-2547.033203,475,3,-1.000000,20000.000000,2,,7,433,468.593811,-2672.357178,363.652344,-2517.308838,471,520.409790,-2674.893066,468.593811,-2672.357178,504,631.857056,-2592.465088,520.409790,-2674.893066,424,363.652344,-2517.308838,447.715424,-2420.393311,530,555.258484,-2423.760498,637.831848,-2540.736572,476,447.715424,-2420.393311,555.258484,-2423.760498,551,637.831848,-2540.736572,631.857056,-2592.465088,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,637.831848,-2540.736572,631.857056,-2592.465088,520.409790,-2674.893066,468.593811,-2672.357178,363.652344,-2517.308838,447.715424,-2420.393311,555.258484,-2423.760498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,501.327148,-2296.865234,476,3,-1.000000,20000.000000,2,,5,445,372.186890,-2274.649414,598.157410,-2112.095215,424,447.715424,-2420.393311,372.186890,-2274.649414,549,598.157410,-2112.095215,638.905090,-2278.661377,530,638.905090,-2278.661377,555.258545,-2423.760498,475,555.258545,-2423.760498,447.715424,-2420.393311,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,447.715424,-2420.393311,372.186890,-2274.649414,598.157410,-2112.095215,638.905090,-2278.661377,555.258545,-2423.760498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,588.437683,2610.841064,477,2,-1.000000,20000.000000,1025,,5,522,629.223145,2591.416016,612.635498,2571.020996,526,608.687683,2671.962891,651.057373,2618.278564,524,591.661316,2664.308594,608.687683,2671.962891,451,591.661316,2664.308594,608.687683,2671.962891,510,629.223145,2591.416016,612.635498,2571.020996,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,612.635498,2571.020996,563.578552,2651.691406,591.661316,2664.308594,608.687683,2671.962891,651.057373,2618.278564,629.223145,2591.416016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,503.937500,2544.129883,478,2,-1.000000,20000.000000,8192,,7,428,414.463318,2463.228516,412.003479,2606.811279,459,527.691101,2434.187500,414.463318,2463.228516,510,581.509094,2532.745361,583.709839,2503.072998,525,507.521393,2626.462402,581.509094,2532.745361,451,476.325348,2635.741943,507.521393,2626.462402,511,583.709839,2503.072998,527.691101,2434.187500,452,412.003479,2606.811279,476.325348,2635.741943,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,412.003479,2606.811279,476.325348,2635.741943,507.521393,2626.462402,581.509094,2532.745361,583.709839,2503.072998,527.691101,2434.187500,414.463318,2463.228516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,618.617371,3103.036865,479,2,-1.000000,20000.000000,1025,,4,469,608.664795,3067.863281,538.259827,3083.563477,543,613.688721,3216.947998,643.576599,3191.101807,480,535.576782,3088.468994,613.688721,3216.947998,470,538.259827,3083.563477,535.576782,3088.468994,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,538.259827,3083.563477,535.576782,3088.468994,613.688721,3216.947998,643.576599,3191.101807,608.664795,3067.863281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,510.291016,3168.896484,480,2,-1.000000,20000.000000,8192,,6,443,372.416199,3183.290039,493.206787,3295.762451,422,405.626129,3117.449707,372.416199,3183.290039,490,493.206787,3295.762451,601.858521,3259.980469,479,613.688721,3216.947998,535.576782,3088.468994,543,601.858521,3259.980469,613.688721,3216.947998,470,535.576782,3088.468994,405.626129,3117.449707,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,535.576782,3088.468994,405.626129,3117.449707,372.416199,3183.290039,493.206787,3295.762451,601.858521,3259.980469,613.688721,3216.947998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,518.187500,-1652.240234,481,3,-1.000000,20000.000000,2,,5,544,623.823853,-1571.532837,624.439575,-1797.009888,482,447.533264,-1546.145386,623.823853,-1571.532837,473,624.439575,-1797.009888,471.552612,-1778.955444,434,471.552612,-1778.955444,391.069244,-1613.322144,432,391.069244,-1613.322144,447.533264,-1546.145386,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,447.533264,-1546.145386,623.823853,-1571.532837,624.439575,-1797.009888,471.552612,-1778.955444,391.069244,-1613.322144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,545.252930,-1464.297852,482,3,-1.000000,20000.000000,2,,6,550,657.159485,-1405.132324,661.627808,-1534.277222,496,442.158264,-1338.263672,657.159485,-1405.132324,544,661.627808,-1534.277222,623.823853,-1571.532837,481,623.823853,-1571.532837,447.533264,-1546.145386,432,447.533264,-1546.145386,421.169312,-1360.796387,423,421.169312,-1360.796387,442.158264,-1338.263672,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,421.169312,-1360.796387,442.158264,-1338.263672,657.159485,-1405.132324,661.627808,-1534.277222,623.823853,-1571.532837,447.533264,-1546.145386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,547.562500,-2996.173828,483,1,-1.000000,20000.000000,2,,5,471,409.689972,-2933.194336,591.325439,-2871.844238,413,405.410828,-2944.366455,409.689972,-2933.194336,528,662.977844,-3035.616455,506.913849,-3175.304932,531,591.325439,-2871.844238,662.977844,-3035.616455,435,506.913849,-3175.304932,405.410828,-2944.366455,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,506.913849,-3175.304932,405.410828,-2944.366455,409.689972,-2933.194336,591.325439,-2871.844238,662.977844,-3035.616455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,560.632813,-570.302734,484,3,-1.000000,20000.000000,0,,5,532,-10.319214,134.555786,627.705322,-475.340698,282,-147.115341,50.962952,-10.319214,134.555786,529,627.705322,-475.340698,623.862854,-661.660156,497,623.862854,-661.660156,520.137512,-685.762268,446,520.137512,-685.762268,-147.115341,50.962952,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,520.137512,-685.762268,-147.115341,50.962952,-10.319214,134.555786,627.705322,-475.340698,623.862854,-661.660156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,572.928894,3481.832764,485,2,-1.000000,20000.000000,1025,,2,490,635.805481,3440.550293,533.343079,3430.319336,486,604.839417,3523.388672,635.805481,3440.550293,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,3,604.839417,3523.388672,635.805481,3440.550293,533.343079,3430.319336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,656.197937,3512.960693,486,2,-1.000000,20000.000000,1025,,5,485,635.805481,3440.550293,604.837341,3523.401367,490,663.583740,3424.177490,635.805481,3440.550293,488,635.805481,3440.550293,604.837341,3523.401367,487,601.534241,3532.246338,620.664185,3560.431152,548,691.707764,3465.575684,663.583740,3424.177490,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,663.583740,3424.177490,635.805481,3440.550293,604.837341,3523.401367,601.534241,3532.246338,620.664185,3560.431152,691.707764,3465.575684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,563.424805,3575.915039,487,2,-1.000000,20000.000000,0,,7,535,590.990356,3857.078857,643.828552,3594.567627,578,450.314453,4096.000000,590.990356,3857.078857,547,643.828552,3594.567627,620.664185,3560.431152,439,460.279327,3568.858887,378.515625,4096.000000,489,514.330750,3523.458008,460.279327,3568.858887,488,601.534241,3532.246338,514.330750,3523.458008,486,643.828552,3594.567627,620.664185,3560.431152,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,8,620.664185,3560.431152,601.534241,3532.246338,514.330750,3523.458008,460.279327,3568.858887,378.515625,4096.000000,450.314453,4096.000000,590.990356,3857.078857,643.828552,3594.567627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,572.928894,3481.832764,488,2,-1.000000,20000.000000,1025,,4,487,514.330750,3523.458008,601.534241,3532.246338,489,528.867554,3429.871582,514.330750,3523.458008,490,533.351563,3430.320068,528.867554,3429.871582,486,601.534241,3532.246338,604.837341,3523.401367,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,601.534241,3532.246338,604.837341,3523.401367,533.351563,3430.320068,528.867554,3429.871582,514.330750,3523.458008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,471.137878,3466.044189,489,2,-1.000000,20000.000000,1025,,4,490,528.867554,3429.871582,518.171631,3414.700195,487,460.279297,3568.858887,514.330750,3523.458008,439,424.093079,3517.406250,460.279297,3568.858887,488,514.330750,3523.458008,528.867554,3429.871582,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,528.867554,3429.871582,518.171631,3414.700195,424.093079,3517.406250,460.279297,3568.858887,514.330750,3523.458008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,582.333008,3387.650391,490,2,-1.000000,20000.000000,8192,,9,443,493.206787,3295.762451,475.351624,3353.946289,480,601.858521,3259.980469,493.206787,3295.762451,543,693.721985,3343.555664,601.858521,3259.980469,548,663.583740,3424.177490,693.721985,3343.555664,489,518.171631,3414.700195,528.867554,3429.871582,437,518.171631,3414.700195,528.867554,3429.871582,485,533.343079,3430.319336,635.805481,3440.550293,488,533.343079,3430.319336,635.805481,3440.550293,486,635.805481,3440.550293,663.583740,3424.177490,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,9,663.583740,3424.177490,693.721985,3343.555664,601.858521,3259.980469,493.206787,3295.762451,475.351624,3353.946289,518.171631,3414.700195,528.867554,3429.871582,533.343079,3430.319336,635.805481,3440.550293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,628.227722,2784.055908,491,2,-1.000000,20000.000000,1025,,3,584,670.613770,2825.775879,718.852234,2759.334229,526,718.852234,2759.334229,615.845947,2716.234375,524,615.845947,2716.234375,586.483765,2742.899902,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,4,586.483765,2742.899902,670.613770,2825.775879,718.852234,2759.334229,615.845947,2716.234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,723.390808,2853.150146,492,2,-1.000000,20000.000000,1025,,4,586,807.331360,2886.704590,785.869873,2806.792236,554,768.660889,2913.357666,807.331360,2886.704590,494,705.190186,2891.961670,768.660889,2913.357666,553,705.190186,2891.961670,768.660889,2913.357666,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,705.190186,2891.961670,768.660889,2913.357666,807.331360,2886.704590,785.869873,2806.792236,681.754578,2884.054932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,655.230652,2963.868408,493,2,-1.000000,20000.000000,1025,,4,540,665.164795,3025.786377,703.685669,2988.100098,537,583.285645,2962.513916,584.237122,2963.249268,469,583.285645,2962.513916,584.237122,2963.249268,495,606.702820,2939.598633,583.285645,2962.513916,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,583.285645,2962.513916,584.237122,2963.249268,665.164795,3025.786377,703.685669,2988.100098,606.702820,2939.598633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,696.208191,2933.863037,494,2,-1.000000,20000.000000,1025,,4,554,744.776917,2975.600586,768.660889,2913.357666,540,704.130005,2987.665283,744.776917,2975.600586,538,689.069885,2967.091797,704.130005,2987.665283,492,768.660889,2913.357666,705.190186,2891.961670,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,705.190186,2891.961670,689.069885,2967.091797,704.130005,2987.665283,744.776917,2975.600586,768.660889,2913.357666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,583.517578,2890.559570,495,2,-1.000000,20000.000000,8192,,10,553,642.952637,2904.148682,654.237488,2874.783447,538,606.703369,2939.608887,642.952637,2904.148682,584,654.237488,2874.783447,649.063843,2855.439453,521,649.063843,2855.439453,521.511597,2801.893066,524,521.511597,2801.893066,503.498718,2805.061768,493,606.703369,2939.608887,642.952637,2904.148682,469,543.272095,2967.956543,583.285645,2962.513916,470,453.438873,2898.519287,543.272095,2967.956543,431,455.371216,2848.759033,453.438873,2898.519287,452,503.498718,2805.061768,455.371216,2848.759033,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,10,503.498718,2805.061768,455.371216,2848.759033,453.438873,2898.519287,543.272095,2967.956543,583.285645,2962.513916,606.703369,2939.608887,642.952637,2904.148682,654.237488,2874.783447,649.063843,2855.439453,521.511597,2801.893066,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,598.549805,-1292.933594,496,3,-1.000000,20000.000000,2,,6,552,652.477417,-1167.647827,721.901794,-1336.093506,505,620.380798,-1162.622681,652.477417,-1167.647827,482,657.159485,-1405.132324,442.158325,-1338.263672,550,721.901794,-1336.093506,657.159485,-1405.132324,423,442.158325,-1338.263672,448.656830,-1299.545898,474,448.656830,-1299.545898,620.380798,-1162.622681,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,448.656830,-1299.545898,620.380798,-1162.622681,652.477417,-1167.647827,721.901794,-1336.093506,657.159485,-1405.132324,442.158325,-1338.263672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,607.392578,-771.537109,497,3,-1.000000,20000.000000,2,,7,505,757.386292,-885.222656,616.144104,-902.599609,587,758.074036,-884.560425,757.386292,-885.222656,556,702.650391,-694.759705,758.074036,-884.560425,529,623.862854,-661.660156,702.650391,-694.759705,484,520.137512,-685.762268,623.862854,-661.660156,472,616.144104,-902.599609,489.882599,-795.421936,446,489.882599,-795.421936,520.137512,-685.762268,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,489.882599,-795.421936,520.137512,-685.762268,623.862854,-661.660156,702.650391,-694.759705,758.074036,-884.560425,757.386292,-885.222656,616.144104,-902.599609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,635.454285,2128.727783,498,2,-1.000000,20000.000000,1025,,4,520,672.112671,2081.061768,548.644836,2064.227051,456,548.644836,2064.227051,548.515625,2065.710205,499,548.515625,2065.710205,597.388367,2176.125732,500,597.388367,2176.125732,598.825195,2176.322754,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,598.825195,2176.322754,672.112671,2081.061768,548.644836,2064.227051,548.515625,2065.710205,597.388367,2176.125732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,536.697449,2172.427490,499,2,-1.000000,20000.000000,1025,,3,500,579.446350,2201.570313,597.388367,2176.125732,456,548.515625,2065.710205,493.891083,2143.237793,498,597.388367,2176.125732,548.515625,2065.710205,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,4,597.388367,2176.125732,548.515625,2065.710205,493.891083,2143.237793,579.446350,2201.570313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,621.281250,2232.024414,500,2,-1.000000,20000.000000,8192,,8,454,579.460388,2201.557373,536.988708,2261.835938,499,579.460388,2201.557373,536.988708,2261.835938,458,536.988708,2261.835938,536.830872,2289.514160,459,536.830872,2289.514160,571.000488,2338.287598,519,732.745667,2194.697510,598.825195,2176.322754,560,798.181824,2316.976074,732.745667,2194.697510,511,571.000488,2338.287598,798.181824,2316.976074,498,732.745667,2194.697510,598.825195,2176.322754,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,8,598.825195,2176.322754,597.388367,2176.125732,579.460388,2201.557373,536.988708,2261.835938,536.830872,2289.514160,571.000488,2338.287598,798.181824,2316.976074,732.745667,2194.697510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,622.728516,-3598.802734,501,1,-1.000000,20000.000000,2,,6,419,475.637238,-3726.265137,462.958557,-3625.779297,444,538.530273,-3777.210693,475.637238,-3726.265137,453,462.958557,-3625.779297,569.842957,-3478.114746,527,569.842957,-3478.114746,723.312134,-3521.408691,555,723.312134,-3521.408691,716.407837,-3673.784668,545,716.407837,-3673.784668,538.530273,-3777.210693,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,6,716.407837,-3673.784668,538.530273,-3777.210693,475.637238,-3726.265137,462.958557,-3625.779297,569.842957,-3478.114746,723.312134,-3521.408691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,635.928894,1108.960205,502,3,-1.000000,20000.000000,1025,,4,581,679.181763,1164.019409,691.434143,1124.401855,464,597.940247,1144.906494,601.603699,1166.908936,508,597.940247,1144.906494,601.603699,1166.908936,509,601.603699,1166.908936,679.181763,1164.019409,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,5,601.603699,1166.908936,679.181763,1164.019409,691.434143,1124.401855,589.828613,1096.118896,597.940247,1144.906494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cell,631.613281,995.676758,503,3,-1.000000,20000.000000,0,,7,581,714.701355,1049.219849,742.222961,1027.856201,507,582.849426,1054.250854,714.701355,1049.219849,466,424.509338,280.036438,549.925354,1033.271973,532,645.703979,293.932556,424.509338,280.036438,645,936.705750,399.004761,645.703979,293.932556,508,549.925354,1033.271973,582.849426,1054.250854,582,742.222961,1027.856201,936.705750,399.004761,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,7,742.222961,1027.856201,936.705750,399.004761,645.703979,293.932556,424.509338,280.036438,549.925354,1033.271973,582.849426,1054.250854,714.701355,1049.219849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
